country,country_clean,region,is_developed,year,month,quarter,date,period,season,year_category,energy_source,energy_source_clean,source_category,energy_type,electricity_production_gwh,share_of_total,is_renewable,is_fossil,energy_intensity_category,is_outlier,is_negative,is_zero
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,87674.639082,0.5778423906739991,False,True,High,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Net electricity production,Net Electricity Production,Other,Other,151547.505696,1.0,False,False,Very High,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Nuclear,Nuclear,Nuclear,Clean Energy,10224.076091,0.0669832921285748,False,False,High,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Oil,Oil,Fossil Fuel,Conventional,7751.433264,0.0507277460564227,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Solar,Solar,Renewable,Clean Energy,2174.016387,0.0144468557128647,True,False,Medium,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Total combustible fuels,Total Combustible Fuels,Fossil Fuel,Conventional,102048.186182,0.6722280354688911,False,True,Very High,False,False,False
Argentina,Argentina,South America,False,2021,1,1,2021-01-01,2018-2022,Winter,Late 2010s,Wind,Wind,Renewable,Clean Energy,12810.478919,0.0845922600316873,True,False,High,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Coal,Coal,Fossil Fuel,Conventional,2449.379586,0.018643503020417,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Hydro,Hydro,Renewable,Clean Energy,23974.690533,0.1737462232976101,True,False,High,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,70693.783759,0.5050602971619965,False,True,High,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Net electricity production,Net Electricity Production,Other,Other,139954.955711,1.0,False,False,Very High,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Nuclear,Nuclear,Nuclear,Clean Energy,7509.18667,0.0532180752028717,False,False,Medium,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Oil,Oil,Fossil Fuel,Conventional,16160.818707,0.1123588090364416,False,True,High,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Solar,Solar,Renewable,Clean Energy,2908.846135,0.0211438655212226,True,False,Medium,False,False,False
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Total combustible fuels,Total Combustible Fuels,Fossil Fuel,Conventional,91536.894631,0.650630667063567,False,True,High,False,False,False
